id,tags,rooms,price,is_exclusive,highlighting_level,estate_type,area,address,latitude,longitude,new_bedrooms_count
3447659,"6 pièces, 3 chambres, 193 m², Étage 1/4, 2 balcons",6,5469,f,3,Appartement,195.32142857142856,Versailles,48.8035403,2.1266886,3
3464091,"2 pièces, 1 chambre, 67 m², Étage 1/0, Balcon, Box, Ascenseur",2,1490,t,3,Appartement,67.72727272727273,Saint-Germain-en-Laye,48.8990413,2.0942792,0
3464131,"4 pièces, 3 chambres, 66 m², Étage 4/–, Ascenseur",4,590,f,3,Appartement,65.55555555555556,Champigny-sur-Marne,48.8137759,2.5107384,3
3464153,"5 pièces, 4 chambres, 93 m², Balcon",5,490,f,2,Appartement,98.0,Évry,48.26406,3.25604,4
3464401,"5 pièces, 3 chambres, 160 m², Étage 5/–, Ascenseur",5,9000,f,2,Appartement,160.71428571428572,Paris 8ème,48.8670978,2.3131224,3
3464501,"4 pièces, 3 chambres, 87 m², Étage 1/0",4,1720,t,3,Appartement,86.0,Saint-Germain-en-Laye,48.8990413,2.0942792,3
3464555,"3 pièces, 2 chambres, 47 m², Étage 2/0",3,1347,t,3,Appartement,46.44827586206897,Saint-Germain-en-Laye,48.8990413,2.0942792,2
3464583,"1 pièce, 12 m², Étage 0/1",1,1100,f,2,Studio,11.956521739130435,Évry,48.26406,3.25604,0
3464604,"1 pièce, 35 m², Étage 4/–, Balcon, Parking, Ascenseur",1,650,t,2,Studio,34.21052631578947,Élancourt,48.7681182,1.949352,0
3464605,"3 pièces, 2 chambres, 43 m²",3,1150,f,2,Appartement,42.5925925925926,Colombes,48.922788,2.2543577,2
3464607,"2 pièces, 1 chambre, 42 m²",2,1050,f,2,Appartement,42.0,Colombes,48.922788,2.2543577,0
3464755,"3 pièces, 2 chambres, 53 m², Étage 3/3, Balcon, Parking",3,1158,t,3,Appartement,52.63636363636363,Carrières-sous-Poissy,48.9437694,2.0341747,2
3464895,"3 pièces, 2 chambres, 93 m², Étage 0/–",3,4350,f,2,Appartement,92.55319148936172,Paris 16ème,48.856779,2.2724945,2
3464902,"2 pièces, 2 chambres, 45 m², Étage 0/0, Parking, Ascenseur",2,2300,f,3,Appartement,45.09803921568628,Paris 15ème,48.8359147,2.2931262,2
3464909,"1 pièce, 20 m²",1,491,f,3,Studio,19.64,Melun,48.539927,2.6608169,0
3464940,"2 pièces, 1 chambre, 40 m², Étage 2/3",2,630,f,3,Appartement,39.375,Rosny-sur-Seine,49.001733,1.6280317,0
3465051,"5 pièces, 3 chambres, 167 m², Étage 3/–, Ascenseur",5,6800,f,3,Appartement,165.85365853658536,Paris 16ème,48.856779,2.2724945,3
3465061,"6 pièces, 4 chambres, 153 m², Étage 4/–, Balcon, Ascenseur",6,7490,f,3,Appartement,152.85714285714286,Paris 7ème,48.857274,2.318348,4
3465117,"6 pièces, 5 chambres, 212 m², Étage 1/–",6,1550,f,2,Appartement,221.42857142857144,Provins,48.5602959,3.2988089,5
3465281,"5 pièces, 4 chambres, 114 m², Étage 5/6, Terrasse, Parking",5,3480,f,3,Appartement,112.25806451612904,Clichy,48.9026,2.30551,4
3465282,"2 pièces, 1 chambre, 46 m², Étage 2/6, Terrasse, Ascenseur",2,1360,f,3,Appartement,45.333333333333336,Clichy,48.9026,2.30551,0
